Test accuracy,Optimizer,Epochs,Batch size,IN dropout,HL1 neurons,HL1 l1 regularization,HL1 l2 regularization,HL1 dropout,HL2 neurons,HL2 l1 regularization,HL2 l2 regularization,HL2 dropout,HL3 neurons,HL3 l1 regularization,HL3 l2 regularization,HL3 dropout,HL4 neurons,HL4 l1 regularization,HL4 l2 regularization,HL4 dropout
0.7462514638900757,rmsprop,16,32,0.5528860390149914,128,0,0.01,0.3695214147928433,0,0,0.0,0.0,0,False,False,False,8,0,0.01,0.2989329000329839
0.7393310070037842,rmsprop,16,12,0.6595584642663579,512,0,0.01,0.5385324432928993,0,0,0.0,0.0,0,False,False,False,8,0,0.01,0.21576006111157026
0.7416378259658813,rmsprop,16,16,0.6983402445526574,128,0,0.01,0.3835810318775333,0,0,0.0,0.0,0,False,False,False,16,0,0.01,0.3410320407186989
0.7497116327285767,rmsprop,8,16,0.5934935144184572,512,0,0.0,0.6705307746715146,0,0,0.0,0.0,0,False,False,False,16,0,0.01,0.08621006495308098
0.7381775975227356,rmsprop,8,16,0.5742720260973236,128,0,0.0,0.34512234847053536,0,0,0.0,0.0,0,False,False,False,16,0,0.01,0.4409357139588643
0.7381775975227356,rmsprop,8,32,0.5836186768292739,512,0,0.01,0.6977168323503947,0,0,0.0,0.0,0,False,False,False,32,0,0.01,0.09979625272920352
0.7450980544090271,rmsprop,8,8,0.5926614873221153,128,0,0.0,0.3504785140733637,0,0,0.0,0.0,0,False,False,False,8,0,0.01,0.15098866637219066
0.7370242476463318,rmsprop,8,64,0.5254037906612725,512,0,0.0,0.3231415415567439,0,0,0.0,0.0,0,False,False,False,8,0,0.01,0.05226937564158644
0.7520184516906738,rmsprop,4,8,0.6515221951374975,128,0,0.0,0.6437588398525667,0,0,0.0,0.0,0,False,False,False,16,0,0.01,0.28569841344669594
0.7474048733711243,rmsprop,4,8,0.5980080280081934,512,0,0.0,0.5780772207617663,0,0,0.0,0.0,0,False,False,False,16,0,0.01,0.08336493411577534
0.7427912354469299,adam,4,12,0.6511183619542539,128,0,0.0,0.6653072121163185,265,0,0.01,0.06860948782441359,0,False,False,False,12,0,0.01,0.19091394342488088
0.7416378259658813,rmsprop,8,4,0.6395053406437721,128,0,0.0,0.5775711719417254,0,false,false,false,0,False,False,False,16,0,0.01,0.05961578037540514
0.7508650422096252,adam,24,8,0.6208971475703831,512,0,0.01,0.4428660047704796,128,0,0,0.2554178468946228,0,False,False,False,4,0,0.01,0.4735213845729423
0.7450980544090271,rmsprop,8,16,0.5934935144184572,512,0,0.0,0.6705307746715146,0,false,false,false,0,False,False,False,16,0,0.01,0.08621006495308098
0.7531718611717224,adam,8,16,0.59031257426255,512,0,0.01,0.4241663336454667,0,false,false,false,0,False,False,False,16,0,0.01,0.43539495349998064
0.7531718611717224,rmsprop,16,32,0.5528860390149914,128,0,0.01,0.3695214147928433,0,false,false,false,0,False,False,False,8,0,0.01,0.2989329000329839
0.7462514638900757,rmsprop,16,16,0.6983402445526574,128,0,0.01,0.3835810318775333,0,false,false,false,0,False,False,False,16,0,0.01,0.3410320407186989
0.7497116327285767,rmsprop,16,32,0.6956996423290863,128,0,0.01,0.3416505161472648,0,false,false,false,0,False,False,False,16,0,0.01,0.4356048447841562
0.7520184516906738,rmsprop,16,12,0.4823326685873575,128,0,0.01,0.3956521082625467,0,false,false,false,0,False,False,False,8,0,0.01,0.3488202295481883
0.7508650422096252,rmsprop,8,64,0.5213355126644589,256,0,0.01,0.5056768509954579,0,false,false,false,0,False,False,False,8,0,0.01,0.4041753131399094
0.7497116327285767,rmsprop,8,32,0.5625634493262018,128,0,0.01,0.36440192885102723,64,0,0,0.01952067049035064,0,false,false,false,8,0,0.01,0.4584908131781924
